blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""170310609002""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,0.00,0.00,63.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,0.00,0.00,,,,,,,1252,,,,,
"""170070105002""","""Rockford, IL""",1.00,3550.00,1192.00,21395.38,71,85,67,40,50,37,31,34,29,11.60,0.65,2.19,2,2,25841,22947,26282,0,0,0,15600,13706,15858,11942,10457,12138,3657,3249,3720,0,0,0,0,0,0,0.1,3.1,0.94,0.06,3229,91,3668,84,189,5,3061,1676,1676,,99,1
"""170070104003""","""Rockford, IL""",1.00,986.00,381.00,20189.48,68,81,64,37,46,34,31,35,29,11.07,0.21,2.20,2,2,25754,23026,26177,0,0,0,15635,13798,15886,11990,10537,12181,3645,3260,3705,0,0,0,0,0,0,0.4,3.3,0.38,0.02,3223,94,3799,84,198,5,3419,1536,1532,1565,88,12
"""170070105003""","""Rockford, IL""",1.00,2023.00,763.00,6723.64,69,81,64,38,48,36,30,33,28,11.33,1.29,2.11,2,2,25276,22428,25716,0,0,0,15035,13150,15297,11457,9974,11657,3578,3175,3640,0,0,0,0,0,0,0.6,4.2,1.05,0.11,5638,95,6776,85,79,14,2393,1601,1601,,96,4
"""170070104001""","""Rockford, IL""",1.00,1914.00,734.00,10058.02,62,73,58,34,43,32,28,31,27,10.56,0.77,1.96,2,2,24128,21066,24591,0,0,0,14067,12249,14323,10652,9266,10843,3415,2983,3481,0,0,0,0,0,0,2.5,5.1,2.21,0.07,5123,56,8460,86,73,9,2133,1417,1485,725,91,9
"""170070102001""","""Rockford, IL""",1.00,1337.00,615.00,255.58,52,60,49,27,33,25,25,27,24,8.11,19.52,1.73,2,2,21851,19341,22259,0,0,0,12534,10801,12795,9441,8063,9645,3093,2738,3150,0,0,0,0,0,0,6.0,5.0,4.24,2.41,8830,66,11382,87,6,183,732,1116,1116,,68,32
"""170070106024""","""Rockford, IL""",1.00,4095.00,1073.00,15715.92,74,88,69,43,54,40,31,34,29,12.81,0.87,2.17,2,2,25597,22780,26030,0,0,0,15415,13525,15675,11793,10300,11991,3623,3225,3684,0,0,0,0,0,0,0.3,3.2,0.90,0.07,4262,97,3830,84,112,9,2425,1801,1816,1348,97,3
"""170119650001""","""Ottawa-Peru, IL""",1.00,988.00,355.00,39347.77,56,67,53,25,32,24,31,35,29,11.44,0.10,2.19,2,2,25352,22991,26114,0,0,0,15525,14366,15881,11936,11112,12185,3588,3254,3696,0,0,0,0,0,0,1.0,1.3,0.35,0.01,1788,97,1858,82,233,4,3644,1073,1125,954,70,30
"""170119650005""","""Ottawa-Peru, IL""",1.00,552.00,212.00,17707.01,50,60,48,20,25,19,30,35,29,10.52,0.13,2.14,2,2,24936,22518,25715,0,0,0,15197,14014,15560,11667,10827,11921,3529,3187,3640,0,0,0,0,0,0,2.4,0.3,1.27,0.01,1595,86,1892,83,80,9,2348,858,921,719,69,31
"""170119650004""","""Ottawa-Peru, IL""",1.00,694.00,225.00,2819.70,51,60,48,22,28,21,28,32,27,11.04,0.88,2.00,2,2,24233,21808,25014,0,0,0,14324,13125,14693,10894,10039,11152,3430,3087,3540,0,0,0,0,0,0,4.0,0.1,3.35,0.08,1803,74,2296,84,39,22,1666,945,1156,578,64,36
"""170190104002""","""Champaign-Urbana, IL""",1.00,565.00,310.00,35507.77,63,75,57,32,40,29,31,34,29,9.36,0.08,2.12,2,2,24676,22191,25578,0,0,0,15051,13336,15472,11558,10195,11852,3493,3142,3620,0,0,0,0,0,0,1.7,1.5,0.14,0.01,2520,79,2470,83,205,4,3363,1292,1560,616,72,28
"""170190054011""","""Champaign-Urbana, IL""",1.00,465.00,293.00,525.53,,,,,,,24,25,22,,,1.60,1,2,19608,17173,20507,8,8,9,11573,9854,12096,8685,7316,9075,2775,2431,2902,113,106,119,207,194,217,6.9,5.4,3.18,0.56,11785,27,14660,88,15,85,1089,,,,65,35
"""170318015001""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,2102.00,803.00,942.81,65,77,72,44,55,50,21,22,22,6.60,5.62,1.72,1,2,20882,18307,20285,6,6,6,12896,10886,11985,9791,8155,8968,2957,2591,2871,148,140,146,101,96,100,6.0,9.0,4.52,0.85,22037,40,48634,90,12,100,1107,2255,2338,1858,83,17
"""170319800001""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,0.00,0.00,4929.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,0.00,0.00,,,,,,,1563,,,,,
"""170898521021""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,563.00,303.00,689.32,54,63,60,28,36,33,25,27,27,8.53,3.75,2.10,2,2,24887,22073,24207,0,0,0,15537,13540,14519,12013,10415,11093,3524,3124,3426,0,0,0,0,0,0,2.4,2.8,1.03,0.44,12569,100,14748,89,14,54,1354,1468,1468,,90,10
"""170898524032""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,618.00,264.00,1172.86,50,59,56,26,32,29,25,27,26,10.04,2.26,2.05,2,2,25335,22729,24701,0,0,0,15267,13384,14277,11680,10167,10781,3587,3217,3496,0,0,0,0,0,0,3.4,2.7,2.28,0.23,4598,87,5345,85,25,41,826,1319,1460,958,72,28
"""170310301021""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,1053.00,650.00,3.65,47,56,53,32,40,37,15,15,16,3.76,669.31,1.03,1,1,14113,11596,13566,50,46,49,9278,7657,8620,5880,4731,5314,2239,1839,2152,1158,1087,1154,793,744,791,9.1,9.4,195.59,178.00,90545,8,64973,90,1,526,677,1651,1750,1120,84,16
"""170310306013""","""Chicago-Naperville-Elgin, IL-IN-WI""",1.00,1790.00,1020.00,9.16,41,49,46,27,34,31,14,15,15,3.32,369.95,0.98,1,1,12844,10457,12317,51,48,51,8838,7352,8206,5609,4570,5069,2038,1658,1954,1190,1123,1183,815,769,811,9.5,9.4,402.72,111.33,95370,1,68772,90,2,279,646,1393,1651,920,65,35
